id,soal,A,B,C,D,kunci
1,Hormon manakah yang berfungsi meningkatkan rasa bahagia?,Insulin,Dopamin,Adrenalin,Serotonin,B
2,Apa nama ibukota negara Filipina?,Manila,Hanoi,Vientiane,Bangkok,A
3,Apa nama mata uang Jepang?,Won,Wuhan,Yen,Yuan,C
4,Skala sebuah denah tanah adalah 1 : 100. Panjang dan lebar tanah pada denah tersebut berturut-turut adalah 15 cm dan 6 cm. Luas tanah sebenarnya adalah?,90 m²,900 m²,9 km²,9 m²,D
5,Berapa derajat kemiringan sumbu bumi?,"24,3°","23,4°","32,4°","43,2°",B
6,Berapakah kecepatan normal detak jantung manusia dewasa?,50-120 detak per menit,80-200 detak per menit,30-50 detak per menit,60-100 detak per menit,D
7,Apa bentuk makhluk hidup pertama di Bumi?,Virus,Sel,Bakteri,Cacing,C
8,"Berikut ini adalah unggas yang menyusui, kecuali?",Elang,Merpati,Pinguin,Flamingo,A
9,Siapakah nama pahlawan yang ada di uang pecahan Rp. 10000 (yang terbaru)?,Frans Kaisiepo,Idham Chalid,Sam Ratulangi,Cut Meutia,A
10,Manakah hewan berikut ini yang mampu tetap beristirahat/tidur dengan mata terbuka?,Laba-laba,Lumba-lumba,Kelelawar,Tikus,B
